index,x_m,y_m,s_m,heading_rad,curvature_1pm
153,4.592113436,-6.320501910,58.997253843,0.361885837,-0.157550022
154,4.863014842,-6.224375154,59.284704578,0.321833927,-0.120920518
155,5.147534179,-6.134592350,59.583053710,0.291348922,-0.083900356
156,5.446228590,-6.048649631,59.893866359,0.270759030,-0.049413636
157,5.759250626,-5.963878608,60.218163940,0.259831278,-0.018918682
158,6.086333767,-5.877504198,60.556459550,0.258003035,0.007209632
159,6.426786247,-5.786704328,60.908812367,0.264563168,0.029240653
160,6.779493322,-5.688670346,61.274890149,0.278773283,0.047747028
161,7.142927984,-5.580666965,61.654033241,0.299938697,0.063390289
162,7.515169944,-5.460090569,62.045316698,0.327443862,0.076806673
163,7.893932538,-5.324524728,62.447609128,0.360765269,0.088557053
164,8.276597084,-5.171791856,62.859627920,0.399471230,0.099112314
165,8.660254038,-5.000000000,63.279990978,0.443214573,0.108855565
166,9.041750185,-4.807583852,63.707265228,0.491721725,0.118090566
167,9.417740980,-4.593339186,64.140012099,0.544780028,0.127050800
168,9.784747041,-4.356450061,64.576830032,0.602224078,0.135906600
169,10.139213737,-4.096508259,65.016393883,0.663921311,0.144769372
170,10.477572722,-3.813524598,65.457490873,0.729756785,0.153692877
171,10.796304250,-3.507931897,65.899052518,0.799617064,0.162672194
172,11.091999089,-3.180579558,66.340181741,0.873373256,0.171641541
173,11.361418834,-2.832719867,66.780174199,0.950863547,0.180472691
174,11.601553481,-2.465986318,67.218532666,1.031876053,0.188976272
175,11.809675154,-2.082364363,67.654973309,1.116133300,0.196908461
176,11.983386948,-1.684155204,68.089422755,1.203280158,0.203985299
177,12.120665971,-1.273933328,68.522005138,1.292877319,0.209905691
178,12.219899732,-0.854498631,68.953018832,1.384402265,0.214382014
179,12.279915207,-0.428824088,69.382903321,1.477258970,0.217174619
